id,direction_id,order_id,quantity,unit_id,item
185,138,6,0.5,2,Ginger (minced)
186,138,7,1,2,Garlic
187,138,8,3,2,Sugar
188,138,9,3,2,Lemon Juice
189,141,1,2,5,Yogurt
190,141,2,0.5,3,Chaat Masala
191,141,3,3,3,Sugar
192,141,4,0.25,2,Salt
193,143,1,1.5,5,Water
194,143,2,2,3,Besan
195,144,1,1,3,Chaat Masala
196,144,2,1,2,Red Chili Powder
197,144,3,0.5,2,Salt
198,144,4,1,2,Crushed Red Pepper
199,144,5,1,2,Cumin Seeds
200,144,6,0.5,3,Coriander
201,147,1,4,3,Tamarind Chutney
202,147,2,3,5,Chana (boiled)
203,147,3,0.5,1,Onion (chopped)
204,147,4,0.5,1,Tomato (chopped)
205,147,5,2,1,Green Chili
206,147,6,1,2,Cilantro (chopped)
207,150,1,0.5,1,Potato (boiled)
208,153,1,1,5,Bhel Dry Mix
209,154,1,4,1,Cilantro (chopped)
210,154,2,0.25,1,Bell Pepper
211,155,1,1,5,Apple Butter
212,155,2,1,2,Coriander
213,155,3,1,2,Cumin
214,155,4,0.5,2,Chaat Masala
215,155,5,1,2,Red Chili Powder
216,155,6,1,3,Lime Juice
217,155,7,0.25,5,Water
218,157,1,2,1,Cilantro Bunch
219,157,2,6,2,Garlic (minced)
220,157,3,2,2,Ginger (minced)
221,157,4,3,1,Green Chili
222,157,5,1,2,Cumin
223,157,6,1,3,Lime Juice
224,157,7,3,3,Peanuts
225,157,8,0.25,2,Salt
